t,x,y,z
41.816,4.29389792853,6.86219543659,15.2735526326
41.824,4.49932885496,7.24446028467,15.183445222
41.832,4.71890423166,7.64782530631,15.120296092
41.84,4.95318042744,8.07286061738,15.0864460613
41.848,5.20271491073,8.51997587942,15.0844926437
41.856,5.46805332728,8.98937418351,15.1173047783
41.864,5.74971392287,9.48099743972,15.1880342777
41.872,6.04816884379,9.99446234617,15.300122281
41.88,6.36382181143,10.5289861328,15.4572985321
41.888,6.69698164303,11.083301512,15.6635707616
41.896,7.04783108765,11.6555606648,15.9232008415
41.904,7.41639047488,12.243228701,16.2406637269
41.912,7.80247574945,12.8429679116,16.6205845412
41.92,8.20565060412,13.4505153527,17.0676485609
41.928,8.62517264974,14.0605579186,17.5864784226
41.936,9.05993389832,14.6666111302,18.1814727456
41.944,9.5083963114,15.2609103954,18.8566007391
41.952,9.96852380594,15.8343264479,19.6151484969
41.96,10.437712935,16.3763198989,20.4594148532
41.968,10.912725478,16.8749530664,21.3903582227
41.976,11.3896273685,17.3169800191,22.4072010356
41.984,11.8637397105,17.6880374112,23.5070054164
41.992,12.3296089755,17.9729582991,24.6842425779
42.0,12.7810046865,18.1562276402,25.9303886154
42.008,13.21095372,18.2225904597,27.2335900305
42.016,13.6118205102,18.1578108256,28.578451787
42.024,13.9754415467,17.9495614158,29.9460066919
42.032,14.2933202675,17.588400281,31.313924553
42.04,14.5568844916,17.0687655132,32.6570099608
42.048,14.7578028212,16.3898938026,33.9480163803
42.056,14.888349209,15.5565507626,35.1587709378
42.064,14.9417967803,14.5794557372,36.2615609853
42.072,14.9128141348,13.4752972355,37.2306857849
42.08,14.7978311831,12.2662701908,38.0440332752
42.088,14.5953387077,10.9791213535,38.6845134679
42.096,14.3060876069,9.64375700493,39.1411763211
42.104,13.9331608366,8.29153542884,39.4098685554
42.112,13.4819030168,6.95342028593,39.493339505
42.12,12.9597079629,5.65819693918,39.4007815817
42.128,12.3756805403,4.43094460125,39.146871048
42.136,11.7402033578,3.2919143483,38.750442353
42.144,11.0644483752,2.25589657477,38.2329702803
42.152,10.3598769806,1.33208681224,37.6170418713
42.16,9.63776932284,0.524392075434,36.9249765514
42.168,8.90881579428,-0.167926905603,36.177707362
42.176,8.1827925606,-0.749403694642,35.3939814731
42.184,7.46833119229,-1.2274281493,34.589886458
42.192,6.77278175068,-1.61132621834,33.7786687742
42.2,6.10216042974,-1.91153210456,32.9707863584
42.208,5.46116760226,-2.1388964964,32.1741277704
42.216,4.85325975519,-2.30414757115,31.3943326726
42.224,4.2807587839,-2.41750120214,30.6351582883
42.232,3.74498372274,-2.48840387398,29.898849746
42.24,3.24639250236,-2.5253853424,29.1864857575
42.248,2.78472415354,-2.53599647762,28.4982829563
42.256,2.35913460827,-2.52680929746,27.8338515317
42.264,1.96832163589,-2.50345946387,27.1924014026
42.272,1.61063638671,-2.47071540174,26.572902365
42.28,1.28418048494,-2.43256200596,25.9742039338
42.288,0.986888659969,-2.39229025207,25.3951215025
42.296,0.716597600496,-2.35258676493,24.8344954385
42.304,0.471102136822,-2.31561951851,24.2912291853
42.312,0.248200074433,-2.28311740356,23.7643116324
42.32,0.0457270770575,-2.25644250579,23.2528281158
42.328,-0.138417021799,-2.23665468799,22.755963539
42.336,-0.306249177653,-2.22456855514,22.2730003194
42.344,-0.459690173364,-2.22080317849,21.8033131985
42.352,-0.600556671528,-2.22582512095,21.3463623988
42.36,-0.730557344046,-2.23998538503,20.901686181
42.368,-0.851292266645,-2.26355092722,20.4688935112
42.376,-0.96425488258,-2.29673137061,20.0476573037
42.384,-1.07083594592,-2.3397015143,19.6377085153
42.392,-1.17232894991,-2.39262019397,19.238831245
42.4,-1.26993662971,-2.45564599812,18.8508589027
42.408,-1.3647782021,-2.52895029252,18.4736714585
42.416,-1.45789706793,-2.61272795404,18.1071937543
42.424,-1.55026875699,-2.70720616448,17.751394843
42.432,-1.64280894079,-2.81265156703,17.4062883219
42.44,-1.7363813769,-2.92937604096,17.0719336306
42.448,-1.83180567969,-3.05774130619,16.7484382949
42.456,-1.92986483784,-3.19816252606,16.435961114
42.464,-2.03131241869,-3.35111103487,16.1347163018
42.472,-2.13687941456,-3.51711627549,15.8449786111
42.48,-2.2472806964,-3.69676699074,15.5670894848
42.488,-2.36322104652,-3.89071167006,15.3014642943
42.496,-2.48540074453,-4.09965820822,15.048600739
42.504,-2.61452067913,-4.32437268599,14.8090884914
42.512,-2.75128695357,-4.5656771309,14.5836201851
42.52,-2.89641494356,-4.82444605947,14.3730038446
42.528,-3.05063275404,-5.10160153884,14.1781768568
42.536,-3.21468400442,-5.39810643358,14.000221579
42.544,-3.38932985095,-5.71495542249,13.8403826566
42.552,-3.57535012866,-6.05316327762,13.7000860983
42.56,-3.77354346457,-6.41374979399,13.5809601026
42.568,-3.98472617628,-6.79772064217,13.4848575632
42.576,-4.20972972723,-7.20604328793,13.4138800734
42.584,-4.44939645927,-7.63961698561,13.3704031108
42.592,-4.70457326655,-8.0992357085,13.3571018901
42.6,-4.97610281023,-8.58554273774,13.3769771174
42.608,-5.2648118036,-9.09897550286,13.4333795457
42.616,-5.57149582225,-9.63969916957,13.5300318071
42.624,-5.89690001703,-10.2075274295,13.6710454609
42.632,-6.24169503399,-10.8018289992,13.8609305384
42.64,-6.6064473815,-11.4214185308,14.1045940695
42.648,-6.99158344181,-12.0644310392,14.4073231501
42.656,-7.39734631715,-12.7281796458,14.7747470557
42.664,-7.82374474878,-13.4089975247,15.2127717847
42.672,-8.27049347962,-14.102066532,15.7274792832
42.68,-8.73694467967,-14.8012372334,16.324982625
42.688,-9.22201046103,-15.4988480211,17.0112277752
42.696,-9.72407712231,-16.1855548287,17.7917325884
42.704,-10.2409126319,-16.8501875926,18.671254766
42.712,-10.76957003,-17.4796549395,19.6533831501
42.72,-11.3062909337,-18.0589242289,20.7400515535
42.728,-11.8464151636,-18.5711093544,21.9309819154
42.736,-12.3843046228,-18.9977025169,23.2230744079
42.744,-12.9132918028,-19.3189869696,24.6097763329
42.752,-13.4256654233,-19.5146635229,26.0804787471
42.76,-13.9127073321,-19.5647122149,27.6200082576
42.768,-14.364795377,-19.4504900559,29.2082985654
42.776,-14.7715858545,-19.1560351537,30.8203378899
42.784,-15.1222856774,-18.6695077508,32.4264889594
42.792,-15.4060180389,-17.9846536019,33.9932620471
42.8,-15.6122758774,-17.102132068,35.4845840068
42.808,-15.7314453025,-16.0305210347,36.8635463412
42.816,-15.7553675329,-14.7868056106,38.0945376134
42.824,-15.6778949767,-13.3961882146,39.1455817541
42.832,-15.4953876416,-11.8911287086,39.9906322083
42.84,-15.2070930614,-10.3096290303,40.611533419
42.848,-14.8153586265,-8.69289976733,40.9993733956
42.856,-14.3256402852,-7.08265930325,41.1550208757
42.864,-13.7462945168,-5.51839028145,41.0887589598
42.872,-13.0881674952,-4.03489141139,40.8190696204
42.88,-12.3640212904,-2.66040922957,40.3707566076
42.888,-11.5878565318,-1.41552748956,39.7726861696
42.896,-10.7742004142,-0.312859326,39.0554562368
42.904,-9.93742703232,0.642537871339,38.2492740417
42.912,-9.09116526357,1.45219591702,37.3822451379
42.92,-8.24783132415,2.12293194647,36.4791785495
42.928,-7.41830300827,2.66541848652,35.5609185777
42.936,-6.61173436032,3.09280178063,34.6441417097
42.944,-5.83549568711,3.41948853961,33.7415149298
42.952,-5.09521541277,3.66016546528,32.8620981831
